0,"[0.0, 0.0]"
1,"[np.float64(0.085), np.float64(0.06)]"
2,"[0.0, 0.0]"
3,"[np.float64(0.065), np.float64(0.06)]"
4,"[np.float64(0.06030150753768844), np.float64(0.06)]"
5,"[np.float64(0.06030150753768844), np.float64(0.06)]"
6,"[np.float64(0.065), np.float64(0.06)]"
7,"[0.0, 0.0]"
8,"[np.float64(0.08), np.float64(0.06)]"
9,"[0.0, 0.0]"
10,"[np.float64(0.08), np.float64(0.06)]"
11,"[0.0, 0.0]"
12,"[0.0, 0.0]"
13,"[0.0, 0.0]"
14,"[0.0, 0.0]"
15,"[np.float64(0.01), np.float64(0.0)]"
16,"[np.float64(0.075), np.float64(0.06)]"
17,"[np.float64(0.065), np.float64(0.06)]"
18,"[0.0, 0.0]"
19,"[0.0, 0.0]"
